model,subset,rmse,score,params,size_mb,flops,inference_ms
Teacher (Transformer),FD001,13.785460472106934,291.2239074707031,230977,0.8811,3452016.0,1.6337
Student (Distilled),FD001,13.69251823425293,288.24066162109375,8945,0.0341,226608.0,1.2932
Student (No KD),FD001,13.832712745666504,295.7003479003906,8945,0.0341,226608.0,1.4827
LSTM Baseline,FD001,13.171635627746582,283.1803894042969,150145,0.5728,4324416.0,0.5541












Teacher (Ensemble x3),FD001,13.702451705932617,307.7732238769531,692931,2.6433,10356048.0,5.3967
Student (Ensemble x3),FD001,12.614826202392578,234.4353485107422,26835,0.1024,679824.0,4.398
