model,subset,rmse,score,params,size_mb,flops,inference_ms
Teacher (Transformer),FD001,14.2059965133667,348.56988525390625,103361,0.3943,2039200.0,1.0814
Student (Distilled),FD001,13.204026222229004,308.8066711425781,8945,0.0341,226608.0,1.1036
Student (No KD),FD001,12.935047149658203,284.38494873046875,8945,0.0341,226608.0,1.169
Teacher (Ensemble x3),FD001,13.190995216369629,261.0350036621094,310083,1.1829,6117600.0,3.14
Student (Ensemble x3),FD001,12.917133331298828,267.7378845214844,26835,0.1024,679824.0,4.071
LSTM Baseline,FD001,13.355101585388184,353.37469482421875,150145,0.5728,4324416.0,0.5375

Teacher (Transformer),FD002,13.304170608520508,842.0537719726562,103361,0.3943,2039200.0,1.1505
Student (Distilled),FD002,13.328805923461914,790.30615234375,8945,0.0341,226608.0,1.2506
Student (No KD),FD002,13.484586715698242,792.7814331054688,8945,0.0341,226608.0,1.065
Teacher (Ensemble x3),FD002,13.045175552368164,768.955322265625,310083,1.1829,6117600.0,3.4111
Student (Ensemble x3),FD002,12.972661018371582,741.6613159179688,26835,0.1024,679824.0,4.1291
LSTM Baseline,FD002,14.304131507873535,1059.271240234375,150145,0.5728,4324416.0,0.4645
Teacher (Transformer),FD003,14.62828540802002,416.2503356933594,103361,0.3943,2039200.0,1.2909
Student (Distilled),FD003,12.952678680419922,304.56170654296875,8945,0.0341,226608.0,1.318
Student (No KD),FD003,12.636577606201172,381.2898864746094,8945,0.0341,226608.0,1.8425
Teacher (Ensemble x3),FD003,13.13553524017334,352.0103454589844,310083,1.1829,6117600.0,3.5358
Student (Ensemble x3),FD003,13.01264762878418,379.2917175292969,26835,0.1024,679824.0,3.8823
LSTM Baseline,FD003,14.059288024902344,935.1309204101562,150145,0.5728,4324416.0,1.0966
Teacher (Transformer),FD004,15.675517082214355,1746.725830078125,103361,0.3943,2039200.0,1.2082
Student (Distilled),FD004,15.072851181030273,1547.932373046875,8945,0.0341,226608.0,1.2359
Student (No KD),FD004,15.209774017333984,1618.04150390625,8945,0.0341,226608.0,1.8614
Teacher (Ensemble x3),FD004,15.020304679870605,1455.1866455078125,310083,1.1829,6117600.0,3.5882
Student (Ensemble x3),FD004,15.269536972045898,1851.6031494140625,26835,0.1024,679824.0,3.6488
LSTM Baseline,FD004,15.350690841674805,1420.8887939453125,150145,0.5728,4324416.0,0.4881
