variant,subset,alpha_task,alpha_soft,alpha_feature,test_rmse,test_score,params,size_mb,flops,inference_ms
task_only,FD001,1.0,0.0,0.0,13.502999305725098,314.4864196777344,8945,0.0341,226608.0,1.1385
task_soft,FD001,0.625,0.37499999999999994,0.0,13.163725852966309,268.6718444824219,8945,0.0341,226608.0,1.7499
task_feature,FD001,0.7142857142857143,0.0,0.28571428571428575,13.446117401123047,316.2086181640625,8945,0.0341,226608.0,1.7955
task_soft_feature_all,FD001,0.5,0.3,0.2,13.204026222229004,308.8066711425781,8945,0.0341,226608.0,2.382
task_only,FD002,1.0,0.0,0.0,13.445063591003418,784.895263671875,8945,0.0341,226608.0,1.5782
task_soft,FD002,0.625,0.37499999999999994,0.0,13.493098258972168,804.8377685546875,8945,0.0341,226608.0,1.5279
task_feature,FD002,0.7142857142857143,0.0,0.28571428571428575,13.803788185119629,864.13525390625,8945,0.0341,226608.0,1.5236
task_soft_feature_all,FD002,0.5,0.3,0.2,13.328805923461914,790.30615234375,8945,0.0341,226608.0,1.7355
task_only,FD003,1.0,0.0,0.0,12.835463523864746,278.36907958984375,8945,0.0341,226608.0,2.1926
task_soft,FD003,0.625,0.37499999999999994,0.0,13.08996868133545,352.61297607421875,8945,0.0341,226608.0,1.7966
task_feature,FD003,0.7142857142857143,0.0,0.28571428571428575,12.582149505615234,291.814697265625,8945,0.0341,226608.0,1.8302
task_soft_feature_all,FD003,0.5,0.3,0.2,12.952678680419922,304.56170654296875,8945,0.0341,226608.0,1.5856
task_only,FD004,1.0,0.0,0.0,15.355072975158691,1304.432861328125,8945,0.0341,226608.0,1.2122
task_soft,FD004,0.625,0.37499999999999994,0.0,15.148249626159668,1363.8577880859375,8945,0.0341,226608.0,0.8867
task_feature,FD004,0.7142857142857143,0.0,0.28571428571428575,15.609938621520996,1783.634521484375,8945,0.0341,226608.0,1.6449
task_soft_feature_all,FD004,0.5,0.3,0.2,15.072851181030273,1547.932373046875,8945,0.0341,226608.0,1.394
