variant,subset,d_model,n_heads,n_layers,d_ff,use_gru_head,epochs_used,test_rmse,test_score,baseline_rmse,beats_baseline,params,size_mb,flops,inference_ms
teacher_d128_h8_l4_default,FD001,128,8,4,512,False,150,15.02950668334961,422.1970520019531,13.355101585388184,False,803969,3.0669,15940416.0,1.5447
teacher_d64_h4_l2,FD001,64,4,2,256,False,150,13.461603164672852,306.4342346191406,13.355101585388184,False,103361,0.3943,2039200.0,1.3623
teacher_d64_h4_l3,FD001,64,4,3,256,False,150,14.706591606140137,395.5228576660156,13.355101585388184,False,153345,0.585,3037600.0,2.0338
teacher_d96_h6_l3,FD001,96,6,3,384,False,150,13.78632926940918,344.3132019042969,13.355101585388184,False,342145,1.3052,6769776.0,2.076
teacher_d128_h8_l2,FD001,128,8,2,512,False,150,14.237554550170898,406.8596496582031,13.355101585388184,False,407425,1.5542,8014656.0,0.8659
teacher_gru_hybrid_d128_h8_l4,FD001,128,8,4,512,True,150,21.742164611816406,6154.90771484375,13.355101585388184,False,903041,3.4448,18939456.0,1.8412
teacher_d128_h8_l4_default,FD002,128,8,4,512,False,150,14.589521408081055,932.7015380859375,14.304131507873535,False,803969,3.0669,15940416.0,2.4944
teacher_d64_h4_l2,FD002,64,4,2,256,False,150,13.304170608520508,842.0537719726562,14.304131507873535,True,103361,0.3943,2039200.0,1.2516
teacher_d64_h4_l3,FD002,64,4,3,256,False,150,14.085651397705078,1053.9130859375,14.304131507873535,True,153345,0.585,3037600.0,1.4775
teacher_d96_h6_l3,FD002,96,6,3,384,False,150,14.4744234085083,956.5809326171875,14.304131507873535,False,342145,1.3052,6769776.0,2.2049
teacher_d128_h8_l2,FD002,128,8,2,512,False,150,14.290258407592773,987.5342407226562,14.304131507873535,True,407425,1.5542,8014656.0,1.2854
teacher_gru_hybrid_d128_h8_l4,FD002,128,8,4,512,True,150,14.434052467346191,1015.9249267578125,14.304131507873535,False,903041,3.4448,18939456.0,2.0973
teacher_d128_h8_l4_default,FD003,128,8,4,512,False,150,15.563027381896973,579.91748046875,14.059288024902344,False,803969,3.0669,15940416.0,1.8428
teacher_d64_h4_l2,FD003,64,4,2,256,False,150,14.334694862365723,544.53271484375,14.059288024902344,False,103361,0.3943,2039200.0,1.7141
teacher_d64_h4_l3,FD003,64,4,3,256,False,150,14.883207321166992,469.2691650390625,14.059288024902344,False,153345,0.585,3037600.0,1.9146
teacher_d96_h6_l3,FD003,96,6,3,384,False,150,14.54903793334961,305.3249206542969,14.059288024902344,False,342145,1.3052,6769776.0,2.5801
teacher_d128_h8_l2,FD003,128,8,2,512,False,150,14.359031677246094,436.400390625,14.059288024902344,False,407425,1.5542,8014656.0,1.0382
teacher_gru_hybrid_d128_h8_l4,FD003,128,8,4,512,True,150,27.052059173583984,4628.16455078125,14.059288024902344,False,903041,3.4448,18939456.0,3.2188
teacher_d128_h8_l4_default,FD004,128,8,4,512,False,150,15.097516059875488,1400.3614501953125,15.350690841674805,True,803969,3.0669,15940416.0,2.0896
teacher_d64_h4_l2,FD004,64,4,2,256,False,150,15.681351661682129,1743.55615234375,15.350690841674805,False,103361,0.3943,2039200.0,1.5993
teacher_d64_h4_l3,FD004,64,4,3,256,False,150,16.750185012817383,1785.8006591796875,15.350690841674805,False,153345,0.585,3037600.0,1.2598
teacher_d96_h6_l3,FD004,96,6,3,384,False,150,15.86542797088623,1476.73193359375,15.350690841674805,False,342145,1.3052,6769776.0,1.5818
teacher_d128_h8_l2,FD004,128,8,2,512,False,150,15.76210880279541,1970.485107421875,15.350690841674805,False,407425,1.5542,8014656.0,1.1349
teacher_gru_hybrid_d128_h8_l4,FD004,128,8,4,512,True,150,16.738683700561523,1827.544921875,15.350690841674805,False,903041,3.4448,18939456.0,3.2489
